Entity,CreatePermission,ReadPermission,UpdatePermission,DeletePermission,OwnerProperty,MaintainerProperty,VisibilityProperty
Package,PublishPackageToPersonalScope,ReadPublicPackage,ManagePackageSettings,DeletePackage,PackageOwner,PackageMaintainer,Visibility
Organization,CreateOrganization,ViewOrganizationMemberList,ManageOrganizationSettings,ManageOrganizations,Administrator,Member,
APIKey,IssueApiKey,ListOwnApiKeys,RevokeOwnApiKey,RevokeOwnApiKey,Owner,,
Account,ManageAccounts,ViewAllAccounts,ManageOwnProfile,ManageAccounts,Id,,
OrganizationInvitation,InviteOrganizationMembers,ViewOrganizationMemberList,AcceptOrganizationInvitation,RemoveOrganizationMembers,Owner,,
PackageInvitation,ManagePackageTeam,ReadPublicPackage,AcceptPackageInvitation,ManagePackageTeam,Owner,,
PackageVersion,PublishPackageVersion,ReadPublicPackage,UnlistPackageVersion,ErasePackageVersion,,,
PackageMetaData,PublishPackageVersion,ReadPublicPackage,ManagePackageSettings,DeletePackage,,,
ProfileLink,ManageOwnProfile,ManageOwnProfile,ManageOwnProfile,ManageOwnProfile,Owner,,
Address,ManageOwnProfile,ManageOwnProfile,ManageOwnProfile,ManageOwnProfile,Owner,,
Country,ConfigurePlatformDefaults,ReadPublicPackage,ConfigurePlatformDefaults,ConfigurePlatformDefaults,,,
Forge,ViewInstallationMetrics,ViewInstallationMetrics,ConfigurePlatformDefaults,ConfigurePlatformDefaults,,,
PackageType,ConfigurePlatformDefaults,ReadPublicPackage,ConfigurePlatformDefaults,ConfigurePlatformDefaults,,,
ProfileType,ConfigurePlatformDefaults,ReadPublicPackage,ConfigurePlatformDefaults,ConfigurePlatformDefaults,,,
